# Band: B8
# Sample unit: dl
# Minimum sample value: 0.009350781127906771
# Maximum sample value: 0.622985929446628
# Number of colors: 256
ID;Sample;RGB
0;0.009350781127906771;0,0,0
1;0.011757193474254697;1,1,1
2;0.014163605820602623;2,2,2
3;0.01657001816695055;3,3,3
4;0.018976430513298476;4,4,4
5;0.021382842859646402;5,5,5
6;0.02378925520599433;6,6,6
7;0.026195667552342258;7,7,7
8;0.028602079898690184;8,8,8
9;0.03100849224503811;9,9,9
10;0.03341490459138603;10,10,10
11;0.035821316937733966;11,11,11
12;0.03822772928408189;12,12,12
13;0.04063414163042982;13,13,13
14;0.043040553976777744;14,14,14
15;0.04544696632312567;15,15,15
16;0.0478533786694736;16,16,16
17;0.05025979101582152;17,17,17
18;0.05266620336216945;18,18,18
19;0.055072615708517375;19,19,19
20;0.0574790280548653;20,20,20
21;0.05988544040121323;21,21,21
22;0.062291852747561154;22,22,22
23;0.06469826509390908;23,23,23
24;0.06710467744025701;24,24,24
25;0.06951108978660495;25,25,25
26;0.07191750213295287;26,26,26
27;0.07432391447930078;27,27,27
28;0.07673032682564872;28,28,28
29;0.07913673917199664;29,29,29
30;0.08154315151834457;30,30,30
31;0.08394956386469249;31,31,31
32;0.08635597621104042;32,32,32
33;0.08876238855738836;33,33,33
34;0.09116880090373627;34,34,34
35;0.09357521325008421;35,35,35
36;0.09598162559643213;36,36,36
37;0.09838803794278006;37,37,37
38;0.10079445028912798;38,38,38
39;0.10320086263547591;39,39,39
40;0.10560727498182383;40,40,40
41;0.10801368732817176;41,41,41
42;0.11042009967451968;42,42,42
43;0.11282651202086762;43,43,43
44;0.11523292436721554;44,44,44
45;0.11763933671356347;45,45,45
46;0.12004574905991139;46,46,46
47;0.12245216140625932;47,47,47
48;0.12485857375260725;48,48,48
49;0.12726498609895517;49,49,49
50;0.12967139844530312;50,50,50
51;0.13207781079165104;51,51,51
52;0.13448422313799896;52,52,52
53;0.13689063548434688;53,53,53
54;0.1392970478306948;54,54,54
55;0.14170346017704274;55,55,55
56;0.14410987252339066;56,56,56
57;0.14651628486973858;57,57,57
58;0.1489226972160865;58,58,58
59;0.15132910956243445;59,59,59
60;0.15373552190878237;60,60,60
61;0.1561419342551303;61,61,61
62;0.1585483466014782;62,62,62
63;0.16095475894782615;63,63,63
64;0.16336117129417407;64,64,64
65;0.165767583640522;65,65,65
66;0.16817399598686994;66,66,66
67;0.17058040833321786;67,67,67
68;0.17298682067956578;68,68,68
69;0.1753932330259137;69,69,69
70;0.17779964537226164;70,70,70
71;0.18020605771860956;71,71,71
72;0.18261247006495748;72,72,72
73;0.1850188824113054;73,73,73
74;0.18742529475765335;74,74,74
75;0.18983170710400127;75,75,75
76;0.1922381194503492;76,76,76
77;0.1946445317966971;77,77,77
78;0.19705094414304505;78,78,78
79;0.19945735648939297;79,79,79
80;0.2018637688357409;80,80,80
81;0.20427018118208884;81,81,81
82;0.20667659352843676;82,82,82
83;0.20908300587478468;83,83,83
84;0.2114894182211326;84,84,84
85;0.21389583056748054;85,85,85
86;0.21630224291382846;86,86,86
87;0.21870865526017638;87,87,87
88;0.2211150676065243;88,88,88
89;0.22352147995287225;89,89,89
90;0.22592789229922017;90,90,90
91;0.2283343046455681;91,91,91
92;0.230740716991916;92,92,92
93;0.23314712933826395;93,93,93
